ID,Class,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,Aff
ID_102,Lyase,14.55561343,-1.881756593,14.55561343,0.113362421,0.084117301,955.31,868.622,954.5962952,380,0,0.311188426,-0.458935816,0.458935816,0.311188426,0.96969697,1.636363636,2.257575758,1.738484134,1692.149453,49.47359806,42.23009764,43.04659422,30.80686019,24.20723374,24.61548203,20.46562833,20.87387662,14.58895116,14.8353508,10.50002811,10.71204678,-2.1,4.41581E+13,56.48718253,24.14910095,13.8171795,399.8985548,69.48730164,30.01691636,17.69249034,0,0,5.969305288,9.694446915,0,0,0,45.89405,124.4312105,56.85386236,41.53587322,58.74835188,28.98700189,0,15.11660807,17.75371814,204.9846576,46.15619933,29.82891977,0,0,10.63357721,5.687386275,0,12.21787344,177.552228,39.63653653,17.75371814,113.8286688,24.26546827,0,0,0,204.14,95.95792882,30.32717416,0,37.32617813,37.58834935,17.67165939,14.03353474,34.618686,64.8893037,28.52359121,40.63905117,0,5.651606639,0,0,0,0,0,0,0,144.9317267,0.836734694,66,7,16,0,3,3,1,0,1,15,7,17,13,0,3,3,4,4.21,257.7824,6.656666667
ID_103,Lyase,14.55776353,-1.897683224,14.55776353,0.106494659,0.09066783,971.265,888.609,970.5548243,384,0,0.311188426,-0.458935816,0.458935816,0.311188426,0.970149254,1.656716418,2.313432836,1.472651329,1778.414544,49.75805511,41.96924395,42.78574053,31.32449828,24.04285573,24.45110402,20.52296839,20.93121668,14.57292362,14.81932326,10.53255078,10.75246399,-2.5,1.12976E+14,55.42759337,23.1554412,13.27637125,402.754872,78.96102754,30.01691636,29.19151401,6.792942306,0,5.969305288,9.694446915,0,0,0,20.7712116,118.5133045,62.92022943,41.53587322,68.22207779,28.98700189,0,15.11660807,17.75371814,191.6400988,52.94914163,18.19910121,0,11.49902367,20.10730312,5.687386275,11.49902367,12.21787344,184.3451703,33.21571491,17.75371814,101.3414801,18.19910121,0,0,0,222.6,95.95792882,30.32717416,0,44.11912044,49.08737301,5.687386275,14.03353474,34.618686,64.8893037,15.53348694,50.11277707,0,5.59999619,0,0,0,0,0,0,0,149.6500038,0.833333333,67,7,18,0,4,4,1,0,1,17,7,19,12,0,3,3,5,3.3763,254.5274,6.66
ID_104,Membrane Protein,14.51291103,-1.92472404,14.51291103,0.096951268,0.115734605,945.633,863.985,944.5488663,374,0,0.318735892,-0.458935816,0.458935816,0.318735892,1,1.676923077,2.292307692,1.74204041,1676.961217,48.76649128,40.90095533,41.65688428,30.25201864,23.32957274,23.70753721,19.96527523,20.40171101,14.02497175,14.26006885,10.12449102,10.31477886,-2.23,2.49054E+13,55.36708353,23.38330888,13.95050699,391.2746786,69.48730164,30.01691636,12.58005346,0,0,12.0004198,9.694446915,4.794537184,0,0,38.43851856,112.3617981,61.87649567,41.53587322,63.54288907,29.28874597,0,15.11660807,17.75371814,191.6400988,46.15619933,29.28810159,0,0,10.63357721,10.48192346,0,11.60093989,178.4709056,33.21571491,17.75371814,101.3414801,24.26546827,5.022633314,0,0,221.21,101.9890433,35.12171134,0,43.87093454,36.64117565,0,14.03353474,72.73162867,37.74263783,10.63357721,40.02211761,0,6.087379977,0,0,0,0,0,0,0,148.4403978,0.829787234,65,7,17,0,3,3,1,0,1,15,7,18,12,0,3,3,4,4.1361,246.2124,6.666666667
ID_105,Membrane Protein,14.62419847,-1.897394679,14.62419847,0.10861135,0.081226308,1020.385,930.673,1019.622844,404,0,0.311188426,-0.458935816,0.458935816,0.311188426,0.915492958,1.577464789,2.197183099,1.472164203,2047.982968,52.91275565,45.12490499,45.94140157,33.16270224,25.67529116,26.08353945,22.02718773,22.43543602,15.57354995,15.81994959,11.33161658,11.54363525,-2.82,5.53389E+14,59.06133243,24.68353437,13.92207585,428.340053,74.38721137,30.01691636,17.69249034,0,0,5.969305288,9.694446915,0,0,0,45.03667987,118.5133045,87.40904103,41.53587322,58.74835188,45.44683659,0,15.11660807,17.75371814,191.6400988,65.15145302,36.39820241,0,0,15.53348694,11.37477255,0,12.21787344,191.647572,33.21571491,17.75371814,101.3414801,36.39820241,0,10.77244843,0,207.38,95.95792882,30.32717416,0,37.32617813,37.58834935,22.14722098,14.03353474,34.618686,78.98464767,38.63249788,40.63905117,0,5.781028933,0,0,0,0,0,0,0,154.6356377,0.773584906,71,7,17,0,3,3,2,0,2,16,7,18,13,0,3,3,5,4.8668,280.2374,6.666666667
ID_106,Oxidoreductase,14.52386914,-1.894801989,14.52386914,0.109418775,0.103799545,931.263,840.543,930.6504389,380,0,0.314299835,-0.458935816,0.458935816,0.314299835,0.923076923,1.584615385,2.2,1.711903369,1469.589128,48.60335457,42.03358074,42.03358074,30.35817179,24.64752156,24.64752156,21.21486456,21.21486456,15.21852484,15.21852484,11.0737662,11.0737662,-1.74,2.96271E+13,55.85274949,24.19967769,14.40928915,389.4630818,69.48730164,30.01691636,12.58005346,0,0,12.0004198,9.694446915,4.794537184,0,0,40.03367647,112.9222462,57.71123249,41.53587322,63.54288907,12.0004198,0,20.43339667,23.67162418,223.7442069,47.38416713,0,0,0,10.63357721,4.794537184,0,0,185.015662,33.21571491,23.67162418,133.4455882,0,0,0,0,221.21,95.95792882,35.12171134,0,43.35729264,44.93857492,12.84164325,33.29599961,34.618686,51.59011223,10.63357721,28.42117772,0,0,0,0,0,0,0,0,0,149.4166667,0.958333333,65,7,17,1,3,4,0,0,0,15,7,17,13,1,3,4,4,3.5405,245.7154,6.67
ID_107,Oxidoreductase,14.54722483,-1.865443432,14.54722483,0.119500083,0.065060118,943.299,856.611,942.5962952,376,0,0.311188426,-0.458935816,0.458935816,0.311188426,0.969230769,1.661538462,2.261538462,1.478187205,1591.716603,48.34384155,41.51455469,42.33105127,30.32449828,24.32422493,24.73247322,21.36099749,21.76924578,15.53786979,15.80005849,11.54906044,11.80249723,-1.58,4.73317E+13,54.36210562,22.44780316,12.80098338,393.9649058,69.48730164,30.01691636,17.69249034,0,0,5.969305288,9.694446915,0,0,0,32.92325181,131.0580257,57.20831692,41.53587322,58.74835188,23.29961562,0,20.43339667,29.58953023,210.5235828,40.83941072,12.15204021,0,0,10.63357721,0,0,12.21787344,183.5940688,33.21571491,29.58953023,114.1831234,12.15204021,0,0,0,204.14,95.95792882,30.32717416,0,37.32617813,55.46600227,6.420821623,20.45435636,34.618686,46.69020249,27.68552715,40.63905117,0,5.690278219,0,0,0,0,0,0,0,141.0597218,0.916666667,65,7,16,2,3,5,0,0,0,15,7,17,12,1,3,4,5,3.0897,250.6174,6.673333333
ID_108,Ribosome,14.56578965,-1.893608356,14.56578965,0.107760421,0.085771098,985.292,900.62,984.5704744,390,0,0.311188426,-0.458935816,0.458935816,0.311188426,0.955882353,1.647058824,2.308823529,1.447578815,1795.714176,50.46516189,42.67635073,43.49284731,31.82449828,24.49996251,24.9082108,20.87109493,21.27934322,14.83253573,15.12121087,10.67871787,10.85294872,-2.5,1.87011E+14,56.41454894,23.81631602,13.50999442,409.1198141,78.96102754,30.01691636,29.19151401,6.792942306,0,5.969305288,9.694446915,0,0,0,26.83757867,124.076756,57.71123249,41.53587322,68.22207779,23.29961562,0,20.43339667,17.75371814,198.1848552,47.63235303,23.7625527,0,11.49902367,20.10730312,0,11.49902367,12.21787344,184.3451703,39.76047131,17.75371814,106.9049316,18.19910121,0,0,0,222.6,95.95792882,30.32717416,0,44.11912044,55.63212942,5.563451492,14.03353474,34.618686,64.8893037,15.53348694,50.11277707,0,5.604634926,0,0,0,0,0,0,0,151.1453651,0.836734694,68,7,18,0,4,4,1,0,1,17,7,19,13,0,3,3,5,3.054,257.7444,6.68
ID_109,Ribosome,14.53090145,-1.918332859,14.53090145,0.098478947,0.090989758,955.266,872.61,954.5599097,378,0,0.311188426,-0.458935816,0.458935816,0.311188426,0.96969697,1.621212121,2.227272727,1.728013991,1711.044989,49.47359806,41.50858942,42.325086,30.76885539,23.68403105,24.09227934,20.15007743,20.55832572,14.20552547,14.45192511,10.19197202,10.38673179,-2.43,4.36647E+13,56.16003988,23.92475218,13.87992725,397.6951348,64.17051303,30.01691636,17.69249034,0,5.907179729,5.969305288,19.8057727,0,0,0,38.9703128,118.5133045,56.72992758,41.53587322,63.54288907,29.20679535,0,20.43339667,17.75371814,191.6400988,40.83941072,35.89528683,0,0,10.63357721,0,0,12.21787344,183.4594077,33.21571491,17.75371814,111.6994688,30.33183534,0,0,0,221.21,95.95792882,35.12171134,0,48.34579475,38.03936396,0,14.03353474,72.73162867,43.80900489,10.63357721,40.63905117,0,5.417463121,0,0,0,0,0,0,0,150.6658702,0.8125,66,7,17,0,3,3,1,0,1,16,7,18,12,0,3,3,4,2.9655,252.2479,6.68
ID_110,Ribosome,14.50741608,-1.894465142,14.50741608,0.110648153,0.125841011,913.229,832.589,912.549345,362,0,0.311188426,-0.458935816,0.458935816,0.311188426,0.968253968,1.619047619,2.222222222,1.776904903,1595.169598,47.18914101,39.89323434,40.70973093,29.35817179,22.7299069,23.13815519,19.46739989,19.87564818,13.75105613,13.99745577,9.908714412,10.12862761,-2.1,1.09811E+13,53.51422263,22.59540852,13.29475027,380.8037284,69.48730164,30.01691636,17.69249034,0,0,5.969305288,9.694446915,0,0,0,38.9703128,112.0924829,56.85386236,41.53587322,58.74835188,28.98700189,0,15.11660807,17.75371814,185.2192771,46.15619933,30.33183534,0,0,10.63357721,5.687386275,0,12.21787344,177.552228,33.21571491,17.75371814,94.92065849,30.33183534,0,0,0,204.14,95.95792882,30.32717416,0,37.32617813,31.16752773,5.687386275,14.03353474,34.618686,81.92194757,10.63357721,40.63905117,0,5.584243456,0,0,0,0,0,0,0,140.3324232,0.826086957,63,7,16,0,3,3,1,0,1,15,7,17,11,0,3,3,4,3.2575,243.7874,6.68
ID_111,Ribosome,14.51553186,-1.954017615,14.51553186,0.008340769,0.090161894,963.236,882.596,962.5461514,380,0,0.311188426,-0.458935816,0.458935816,0.311188426,0.984848485,1.621212121,2.212121212,1.742914976,1715.633904,49.63673476,41.20156953,42.01806611,30.67953899,23.44120471,23.849453,20.05158656,20.45983485,14.14377896,14.3901786,10.15792849,10.36205263,-2.24,3.76892E+13,56.34839135,23.57877249,13.54132445,395.4997413,69.48730164,47.33874432,17.69249034,0,0,5.969305288,9.694446915,8.780830095,0,0,26.83757867,118.5133045,51.16647609,41.53587322,67.52918198,28.98700189,0,15.11660807,17.75371814,191.6400988,46.15619933,29.83354289,0,0,10.63357721,14.46821637,0,12.21787344,177.552228,33.21571491,29.38815982,101.3414801,18.19910121,0,0,0,204.14,107.5923705,39.10800425,0,54.6707577,25.93115606,12.13273414,20.09990181,48.4661604,37.74263783,10.63357721,40.63905117,0,5.330000441,0,0,0,0,0,0,28.61759379,128.8024058,0.829787234,66,7,16,0,3,3,1,0,1,15,7,19,12,0,3,3,4,3.9258,248.3204,6.69
