Id,ChEMBL_IDs,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,Aff
115,CHEMBL1682599,14.5430722,-1.889994595,14.5430722,0.109251293,0.085433531,957.282,872.61,956.5755597,380,0,0.311188426,-0.496765888,0.496765888,0.311188426,0.954545455,1.606060606,2.196969697,1.72740964,1676.855869,49.47359806,41.93123915,42.74773573,30.79002344,23.75296294,24.16121123,20.18342942,20.59167771,14.29037277,14.53677241,10.23260766,10.45252086,-2.3,4.36647E+13,56.28891094,24.01306256,13.94057707,398.6471579,74.22416459,35.7664282,17.69249034,0,0,5.969305288,9.694446915,0,0,0,20.7712116,130.6460386,56.85386236,48.64567076,63.48521483,28.98700189,0,15.11660807,17.75371814,191.6400988,53.26599687,24.26546827,0,5.749511833,15.37044016,5.687386275,5.749511833,12.21787344,184.6620255,33.21571491,17.75371814,101.3414801,24.26546827,0,0,0,213.37,95.95792882,30.32717416,0,37.32617813,37.58834935,11.43689811,14.03353474,41.72848354,70.95567077,15.53348694,45.37591412,0,5.574057535,0,0,0,0,0,0,0,147.0092758,0.833333333,66,7,17,0,3,3,1,0,1,16,7,18,13,0,3,3,4,3.6562,254.9564,6.703333333
116,CHEMBL1682587,14.58765443,-1.933476311,14.58765443,0.094607935,0.091352832,1017.312,928.608,1016.629703,408,0,0.31873512,-0.488914737,0.488914737,0.31873512,0.902777778,1.569444444,2.194444444,1.409345154,1979.812583,53.29358901,45.02509727,45.02509727,33.80766153,25.89762678,25.89762678,21.75357897,21.75357897,15.30299729,15.30299729,10.93365222,10.93365222,-3.5,1.10346E+15,59.37752675,25.83034072,15.09033388,427.5069939,74.22416459,42.37331016,12.58005346,0,0,12.0004198,9.694446915,4.794537184,0,0,51.10304694,123.9916167,56.85386236,41.53587322,68.27975202,17.68780607,0,15.11660807,17.75371814,198.2469807,46.15619933,60.16075511,0,5.749511833,15.37044016,10.48192346,5.749511833,0,178.4709056,39.82259687,17.75371814,106.9049316,54.59730362,0,0,0,230.44,101.9890433,35.12171134,0,43.87093454,43.97493613,5.563451492,14.03353474,72.73162867,68.07447317,10.63357721,33.15804068,0,0,0,0,0,0,0,0,0,167.0833333,0.740740741,72,7,18,0,3,3,2,0,2,16,7,18,15,0,3,3,5,5.0617,271.9764,6.71
117,CHEMBL1774639,14.63432759,-1.938913799,14.63432759,0.097270969,0.109279285,994.347,906.651,993.6071942,394,0,0.311188426,-0.458935816,0.458935816,0.311188426,0.985507246,1.652173913,2.260869565,1.778570361,1792.35142,51.5949184,43.61608866,44.43258524,32.30686019,25.01668281,25.4249311,21.08316351,21.46986184,15.00541814,15.40795459,10.71816016,11.00279642,-2.61,1.94169E+14,58.95648303,25.86027278,15.22047533,417.2309902,69.07042276,30.01691636,17.69249034,0,0,5.969305288,9.694446915,0,5.261891555,0,51.10304694,111.9440218,64.2559889,54.02591615,58.74835188,23.29961562,5.261891555,20.0165178,17.75371814,198.0609204,53.92892354,35.89528683,0,6.069221313,5.316788604,0,0,12.21787344,195.5416505,39.63653653,29.08483101,106.9049316,30.33183534,0,0,0,219.14,95.95792882,35.58906571,0,43.74699975,44.25704054,11.98427311,14.03353474,34.618686,74.68912316,23.51874405,40.63905117,0,5.880056738,0,0,0,0,0,0,0,154.0366099,0.823529412,69,6,17,0,3,3,1,0,1,16,6,18,15,0,3,3,4,3.60378,265.6717,6.716666667
118,CHEMBL532024,14.54249602,-1.87572025,14.54249602,0.114795584,0.081208094,955.31,868.622,954.5962952,380,0,0.311188426,-0.458935816,0.458935816,0.311188426,0.939393939,1.590909091,2.212121212,1.700335183,1646.316494,49.31046135,42.01455469,42.83105127,30.85817179,24.18701368,24.59526197,20.49230313,20.90055143,14.48454256,14.7732177,10.41051296,10.61463711,-2.1,4.77313E+13,56.48718253,24.63992379,14.48350835,399.8985548,69.48730164,30.01691636,17.69249034,0,0,5.969305288,9.694446915,0,0,0,51.10304694,118.3648435,57.71123249,41.53587322,58.74835188,23.29961562,0,20.43339667,17.75371814,198.0609204,47.38416713,35.89528683,0,0,10.63357721,0,0,12.21787344,184.0969844,39.63653653,17.75371814,106.9049316,30.33183534,0,0,0,204.14,95.95792882,30.32717416,0,37.32617813,44.13310575,6.420821623,19.59698623,34.618686,64.8893037,27.66622108,40.63905117,0,5.577460549,0,0,0,0,0,0,0,144.8392061,0.836734694,66,7,16,0,3,3,1,0,1,15,7,17,14,0,3,3,4,3.3678,256.4884,6.716666667
119,CHEMBL1682581,14.59366286,-1.929499005,14.59366286,0.097266647,0.101978487,987.286,900.598,986.6191388,396,0,0.318755542,-0.458935816,0.458935816,0.318755542,0.9,1.557142857,2.2,1.470325775,1960.033489,51.87937545,43.9097422,43.9097422,32.84133503,25.30725717,25.30725717,21.36653707,21.36653707,15.20254419,15.20254419,11.01103302,11.01103302,-3.3,4.32579E+14,57.59937161,24.6163669,13.84571108,416.0285066,69.48730164,30.01691636,12.58005346,0,0,12.0004198,9.694446915,4.794537184,0,0,69.30214815,105.7925155,56.72992758,47.22325949,63.54288907,17.68780607,0,15.11660807,17.75371814,191.6400988,46.15619933,54.59730362,0,11.12690298,10.63357721,10.48192346,0,0,178.4709056,33.21571491,17.75371814,101.3414801,54.59730362,0,11.12690298,0,221.21,95.95792882,35.12171134,0,49.90204905,31.61854233,11.12690298,14.03353474,41.5424232,99.26367864,10.63357721,28.42117772,0,0,0,0,0,0,0,0,0,162.0833333,0.735849057,70,7,17,0,3,3,2,0,2,15,7,17,13,0,3,3,5,5.1497,266.6384,6.716666667
120,CHEMBL1641857,14.19620904,-1.263279468,14.19620904,0.006878115,0.325855423,842.088,770.52,841.5200935,336,0,0.333684054,-0.460181086,0.460181086,0.333684054,0.766666667,1.35,1.916666667,2.658874949,1670.020954,45.59276469,38.02068426,38.02068426,28.10367604,21.29057727,21.29057727,16.68285207,16.68285207,12.1463397,12.1463397,6.933293776,6.933293776,-4.79,2.36637E+12,51.35105743,23.85661887,13.88397646,356.4999157,39.9135597,30.2713297,6.103966388,23.62871892,5.907179729,11.93861058,23.97268592,9.589074368,0,0,97.71565909,51.01211843,44.97275419,12.64872279,48.14201359,41.47450922,0,25.3333064,23.67162418,143.8207426,27.68777235,47.54441147,0,0,10.63357721,0,0,0,131.4478006,49.45630782,23.67162418,100.48411,41.98095998,0,0,0,191.96,102.3343402,38.66828768,0,30.25055987,19.26246487,5.563451492,62.68997685,32.90394574,45.89405,10.63357721,9.473725908,0,0,0,0,0,0,0,0,0,149.6666667,0.666666667,60,3,15,0,1,1,1,0,1,10,3,15,8,0,0,0,2,3.6598,227.7782,6.72
121,CHEMBL1682459,14.5389491,-1.902406076,14.5389491,0.103846293,0.084107517,996.146,915.506,994.4870504,380,0,0.311188426,-0.458935816,0.458935816,0.311188426,0.984848485,1.651515152,2.257575758,1.734425118,1735.883904,49.63673476,41.20156953,43.52992401,30.66270224,23.43522164,24.59939888,20.08381584,21.30646439,14.1199553,15.10538422,10.13214092,10.6501453,-1.52,3.70621E+13,57.062227,24.06345831,14.08650835,407.775203,69.48730164,30.01691636,17.69249034,0,0,5.969305288,9.694446915,0,0,0,43.97309138,124.5796715,56.85386236,51.58113985,58.74835188,52.18888167,0,15.11660807,17.75371814,191.6400988,46.15619933,28.24436783,0,0,10.63357721,5.687386275,0,35.41975322,177.552228,33.21571491,17.75371814,101.3414801,18.19910121,10.04526663,0,0,204.14,95.95792882,30.32717416,0,37.32617813,53.32100225,0,14.03353474,52.8177872,46.69020249,15.53348694,63.84093095,0,17.81703551,0,0,0,0,0,0,0,137.1551867,0.829787234,66,7,16,0,3,3,1,0,1,15,7,19,12,0,3,3,4,4.9544,258.4244,6.75
122,CHEMBL1774584,14.61115489,-1.978819736,14.61115489,0.068442365,0.127781851,1033.142,949.478,1031.536443,400,0,0.321417082,-0.458935816,0.458935816,0.321417082,1,1.671428571,2.271428571,1.775403377,1895.234241,52.6282986,43.51021029,45.02206818,32.61139064,24.76489077,25.52081972,21.02350987,21.86714578,14.86165423,15.40946034,10.64852577,11.10426526,-2.45,2.41771E+14,60.10733,25.66711028,14.86504216,425.2753224,69.07042276,30.01691636,12.58005346,0,0,12.0004198,9.694446915,4.794537184,5.261891555,0,43.97309138,112.3617981,62.73386581,64.73593574,63.54288907,40.88968586,5.261891555,14.69972919,17.75371814,198.0609204,52.70095573,28.24436783,0,6.069221313,5.316788604,10.48192346,0,23.20187978,189.9155717,33.21571491,29.08483101,107.7623017,18.19910121,10.04526663,0,0,236.21,101.9890433,40.3836029,0,68.40390229,30.09641924,0,24.99981154,60.59889453,37.74263783,11.38600992,51.6230575,0,12.44205532,0,0,0,0,0,0,0,156.8635002,0.82,70,6,18,0,3,3,1,0,1,16,6,20,14,0,3,3,4,5.41558,265.0227,6.75
123,CHEMBL1682455,14.51401569,-1.97715731,14.51401569,0.041744265,0.068327887,981.226,901.594,980.5367296,386,0,0.311188426,-0.458935816,0.458935816,0.311188426,0.970149254,1.626865672,2.23880597,1.734215794,1789.200712,50.50697825,41.50218374,42.31868032,31.09022259,23.54685361,23.9551019,20.17783845,20.58608674,14.22587019,14.47226983,10.17191384,10.38393252,-2.31,5.65906E+13,57.27045332,23.73621575,13.76652733,399.6652768,69.48730164,30.01691636,35.14415287,0,0,5.969305288,9.694446915,13.17124514,0,0,20.7712116,118.5133045,51.16647609,47.22325949,71.91959702,28.98700189,0,15.11660807,17.75371814,191.6400988,46.15619933,29.58439666,0,0,10.63357721,18.85863142,0,12.21787344,177.552228,33.21571491,35.20538066,101.3414801,12.13273414,0,0,0,204.14,113.4095913,43.4984193,0,61.2155141,19.38639965,12.13273414,14.03353474,48.4661604,37.74263783,10.63357721,40.63905117,0,5.296955751,0,0,0,0,0,0,41.71789969,123.4018112,0.829787234,67,7,16,0,3,3,1,0,1,15,7,20,12,0,3,3,4,4.0649,248.2784,6.753333333
124,CHEMBL2041386,14.55904958,-1.827017876,14.55904958,0.049163025,0.091895419,1018.344,926.616,1017.661338,410,0,0.311188426,-0.458935816,0.458935816,0.311188426,0.944444444,1.652777778,2.333333333,1.389262154,2007.506534,53.29358901,45.70726003,45.70726003,33.84133503,26.35465884,26.35465884,22.11942447,22.11942447,15.68068273,15.68068273,11.23301286,11.23301286,-3.11,1.1056E+15,59.76293277,26.09551153,14.83975978,428.6518048,74.01754693,30.01691636,12.58005346,5.907179729,0,5.969305288,14.57305289,0,0,0,38.9703128,119.7639246,81.46463373,47.05257394,63.17322462,28.46679622,0,20.10058659,17.75371814,204.481742,59.81075328,36.52867891,0,0,10.63357721,5.687386275,0,0,191.8789759,42.74711504,17.75371814,114.1831234,36.52867891,0,10.90292493,0,223.1,95.95792882,30.01518395,0,49.84023983,45.31755571,16.59031121,14.03353474,40.81552957,84.06970982,20.51746546,33.15804068,0,0,0,0,0,0,0,0,0,163.0833333,0.796296296,72,6,18,0,3,3,1,1,2,17,6,18,17,0,3,3,5,4.8718,275.0056,6.765
