ID,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,Aff
CHEMBL1682584,14.517720525322334,-1.9137315739782368,14.517720525322334,0.10176162120174381,0.117186234289655,925.2149999999998,840.5429999999997,924.6034887479999,374,0,0.3187350899170459,-0.45893581611703127,0.45893581611703127,0.3187350899170459,0.9538461538461539,1.6,2.2,1.7391679478686795,1652.6986928403282,48.76649127671306,41.52299085630585,41.52299085630585,30.25201863611684,23.64059050446119,23.64059050446119,20.320953283463556,20.320953283463556,14.25192108376857,14.25192108376857,10.19515017787586,10.19515017787586,-2.5199999999999996,25469524972864.387,55.07967855438286,23.18789600629817,13.814232416186176,387.3363545092984,69.48730163586697,30.016916361976897,12.580053458670426,0.0,0.0,12.000419800289922,9.694446914922299,4.794537184071822,0.0,0.0,38.46739722769209,113.21916823766803,56.853862361082136,41.535873219121974,63.542889065147456,17.687806074973484,0.0,15.116608065707286,17.75371813848418,198.56383596313077,46.15619932837597,29.828919765543436,0.0,0.0,10.633577208012662,10.481923458755384,0.0,0.0,178.47090561246785,33.215714906872115,24.677455338174806,106.90493160323327,24.26546827384644,0.0,0.0,0.0,221.21,95.9579288152822,35.12171134234717,0.0,43.357292644173754,38.163298738273305,5.563451491696996,14.033534740968157,41.54242319814374,75.85558049966428,10.633577208012662,28.421177722800294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.41666666666666,0.8333333333333334,65,7,17,0,3,3,1,0,1,15,7,17,12,0,3,3,4,3.7911200000000087,245.93939999999913,6.796666667
CHEMBL1682596,14.54233584525528,-1.9091688274368441,14.54233584525528,0.014990619635886437,0.10179485175939469,947.3059999999996,852.5539999999996,946.681739068,388,0,0.3147021214319273,-0.45893581611703127,0.45893581611703127,0.3147021214319273,0.9393939393939394,1.5606060606060606,2.121212121212121,2.103060269972014,1528.092875151277,50.49047039477418,43.92069656073391,43.92069656073391,30.194087086387718,24.526330080601827,24.526330080601827,23.076248223238757,23.076248223238757,14.36667684212457,14.36667684212457,11.104521321767374,11.104521321767374,-1.7400000000000002,15468932119604.207,58.572833427281005,23.449621841511895,15.37866988249268,396.83385510401064,69.48730163586697,30.016916361976897,12.580053458670426,0.0,0.0,12.000419800289922,9.694446914922299,4.794537184071822,0.0,0.0,41.54242319814374,119.84598339275821,56.70540133878192,41.535873219121974,63.542889065147456,12.000419800289922,0.0,20.433396669713616,23.168708607880962,238.21853163720266,40.839410724369635,0.0,0.0,0.0,10.633577208012662,4.794537184071822,0.0,0.0,184.00983086485118,33.215714906872115,23.168708607880962,142.38098773291543,0.0,0.0,0.0,0.0,221.21,101.49685406766555,35.12171134234717,0.0,48.77228311357053,32.475912463589744,6.4208216229260096,14.033534740968157,34.61868599845312,65.43758662519907,31.404788807084536,28.421177722800294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.08333333333334,0.9591836734693877,66,7,17,0,3,3,0,0,0,15,7,17,13,0,3,3,3,4.175000000000011,252.42439999999897,6.806666667000001
CHEMBL1682591,14.534727328043422,-1.8803982406449036,14.534727328043422,0.11329564657659952,0.09009959393764888,941.2829999999998,856.6109999999996,940.5806451279999,374,0,0.3111884259366973,-0.45893581611703127,0.45893581611703127,0.3111884259366973,0.9692307692307692,1.6153846153846154,2.2153846153846155,1.7391679478686795,1657.7848591675086,48.76649127671306,41.52299085630585,42.33948743723358,30.25201863611684,23.64059050446119,24.048838794925054,20.320953283463556,20.729201573927423,14.25192108376857,14.498320723681944,10.19515017787586,10.415063380689586,-2.0999999999999996,25469524972864.387,55.495927521581635,23.47105715959477,14.011764635371945,393.5336126564595,69.48730163586697,30.016916361976897,17.692490343395185,0.0,0.0,5.969305287951849,9.694446914922299,0.0,0.0,0.0,38.46739722769209,125.43704168071473,56.853862361082136,41.535873219121974,58.748351881075635,28.987001890406866,0.0,15.116608065707286,17.75371813848418,198.56383596313077,46.15619932837597,29.828919765543436,0.0,0.0,10.633577208012662,5.687386274683562,0.0,12.217873443046695,177.55222798485454,33.215714906872115,24.677455338174806,106.90493160323327,24.26546827384644,0.0,0.0,0.0,204.14000000000001,95.9579288152822,30.327174158275348,0.0,37.32617813183568,37.5883493483145,11.250837766380558,14.033534740968157,34.61868599845312,77.87940796850442,15.533486938863138,40.63905116584699,0.0,5.576918903225959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.50641443010738,0.8333333333333334,65,7,16,0,3,3,1,0,1,15,7,17,12,0,3,3,4,3.956020000000009,253.14139999999912,6.806666667000001
CHEMBL1682589,14.60466123403189,-1.9001429772667966,14.60466123403189,0.10614196017395883,0.06918045678464646,1033.3799999999997,944.6759999999995,1032.606859876,408,0,0.3111884259366973,-0.48891473657630885,0.48891473657630885,0.3111884259366973,0.9166666666666666,1.5833333333333333,2.2083333333333335,1.409345153737237,1985.0098358528508,53.29358901420851,45.02509727390437,45.8415938548321,33.80766152878266,25.897626777404156,26.30587506786802,21.753578968917743,22.16182725938161,15.302997292982718,15.549396932896093,10.9336522205254,11.153565423339126,-3.079999999999999,1103455833204652.2,59.79258137849127,26.115940380294333,15.28747756525859,433.7042520920304,74.22416458966703,42.37331015977372,17.692490343395185,0.0,0.0,5.969305287951849,9.694446914922299,0.0,0.0,0.0,51.10304694137992,136.20949010964435,56.853862361082136,41.535873219121974,63.485214834875684,28.987001890406866,0.0,15.116608065707286,17.75371813848418,198.24698072795306,46.15619932837597,60.160755107851486,0.0,5.749511833283905,15.370440161812711,5.687386274683562,5.749511833283905,12.217873443046695,177.55222798485454,39.82259687138503,17.75371813848418,106.90493160323327,54.59730361615449,0.0,0.0,0.0,213.37,95.9579288152822,30.327174158275348,0.0,37.32617813183568,44.19523131282742,17.000349599664464,14.033534740968157,34.61868599845312,101.28750611112187,15.533486938863138,45.37591411964704,0.0,5.66078866487277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.08921133512723,0.7407407407407407,72,7,17,0,3,3,2,0,2,16,7,18,15,0,3,3,5,5.226600000000012,279.1783999999995,6.816666667000001
CHEMBL553625,14.619626269708807,-1.918115502289384,14.619626269708807,0.10089923621532115,0.10829434767996308,994.3469999999995,906.6509999999995,993.607194224,394,0,0.3111884259366973,-0.45893581611703127,0.45893581611703127,0.3111884259366973,0.9855072463768116,1.6521739130434783,2.260869565217391,1.7592872176562204,1792.351419971818,51.594918401459246,43.616088660055034,44.43258524098276,32.30686019098323,25.016682810658413,25.424931101122276,21.11349359608099,21.500191927147977,14.97548325996097,15.378019717005538,10.748754381217218,11.003497350700975,-2.61,195108179504529.8,58.956483033203874,25.860272776758144,15.220475334480769,417.2309901677133,69.0704227627111,30.016916361976897,17.692490343395185,0.0,0.0,5.969305287951849,9.694446914922299,0.0,5.261891554738487,0.0,51.10304694137992,111.94402183579787,64.25598889822372,54.02591615484025,58.748351881075635,23.299615615723305,5.261891554738487,20.016517796557764,17.75371813848418,204.60567679227873,47.38416713028221,35.89528683400505,0.0,6.069221312792274,5.316788604006331,0.0,0.0,12.217873443046695,188.9968941216176,39.76047131278469,29.08483100601494,113.32575322615928,30.33183534230805,0.0,0.0,0.0,219.14000000000001,95.9579288152822,35.58906571301384,0.0,43.74699975476169,50.67786216013965,5.563451491696996,14.033534740968157,34.61868599845312,81.92194756812589,16.28591964764908,40.63905116584699,0.0,5.823640369590283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.09302629707636,0.8235294117647058,69,6,17,0,3,3,1,0,1,16,6,18,15,0,3,3,4,3.9513800000000097,265.4216999999992,6.816666667000001
CHEMBL1682578,14.499167009491774,-1.9728646295673364,14.499167009491774,0.06418669944784638,0.11722906999527558,947.1679999999999,866.5279999999998,946.5689950599999,380,0,0.31873671466452363,-0.45893581611703127,0.45893581611703127,0.31873671466452363,0.9696969696969697,1.6363636363636365,2.242424242424242,1.7344251183252621,1730.7977376274396,49.63673476471614,41.20156953313469,41.20156953313469,30.6627022386398,23.435221644137087,23.435221644137087,20.083815842906752,20.083815842906752,14.119955298697317,14.119955298697317,10.132140918792288,10.132140918792288,-2.6599999999999993,37062086550218.68,55.93204785389925,23.297329810555613,13.559082818937124,389.30248320075424,69.48730163586697,30.016916361976897,24.214495140762217,0.0,0.0,12.000419800289922,9.694446914922299,13.575367279421462,0.0,0.0,20.771211599071872,106.29543103797741,62.920229429543745,41.535873219121974,72.3237191604971,17.687806074973484,0.0,15.116608065707286,17.75371813848418,191.64009876344014,46.15619932837597,29.833542887476618,0.0,0.0,10.633577208012662,19.262753554105025,0.0,0.0,178.47090561246785,33.215714906872115,29.38815982057597,101.34148011153627,18.19910120538483,0.0,0.0,0.0,221.21,113.62348500971207,43.90254143769681,0.0,62.64783362425696,12.841643245852019,12.13273413692322,20.099901809429767,48.46616039783436,37.74263782643659,10.633577208012662,28.421177722800294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.194084847749423,138.88924848558386,0.8297872340425532,66,7,17,0,3,3,1,0,1,15,7,19,12,0,3,3,4,3.760900000000007,241.1183999999992,6.82
CHEMBL1774631,13.636071544687804,-1.8949003770172705,13.636071544687804,0.14504298434711727,0.1935090017332714,789.0240000000003,720.4799999999999,788.4935443760002,316,0,0.31877990182978455,-0.45893594369480084,0.45893594369480084,0.31877990182978455,1.0,1.6607142857142858,2.3035714285714284,1.6154800765240362,1591.5726022536737,41.697577175960724,34.884032422541196,34.884032422541196,26.169684529378085,20.11826554486472,20.11826554486472,17.116687800275965,17.116687800275965,11.98278064065166,11.98278064065166,8.65499631618137,8.65499631618137,-2.919999999999999,523526276137.50116,45.77800427756557,19.22150313099481,10.967025593345609,332.0337933620762,55.276712774466816,23.912949974228596,6.290026729335213,0.0,0.0,12.000419800289922,9.694446914922299,4.794537184071822,0.0,0.0,51.10304694137992,96.79958344459972,43.3232431968786,29.830856020389987,49.33230020374731,28.460254503903077,0.0,15.116608065707286,17.75371813848418,140.85197080239135,39.04640178709844,42.46456947923127,0.0,0.0,10.633577208012662,10.481923458755384,0.0,0.0,147.26209775537484,19.005126045471968,17.75371813848418,74.65236246630302,42.46456947923127,0.0,10.772448428929591,0.0,193.51999999999998,77.89003301180476,35.12171134234717,0.0,43.99486932073482,18.652964303522147,10.772448428929591,13.847474399381248,27.694948798762496,80.20720730566788,10.633577208012662,14.210588861400147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.33333333333334,0.7142857142857143,56,7,14,0,2,2,2,0,2,12,7,14,8,0,2,2,4,3.3206000000000064,214.8523999999993,6.823333333
CHEMBL1682580,14.53379162333307,-1.916436058138765,14.53379162333307,0.10108323873764702,0.08368982813163128,957.2819999999998,872.6099999999997,956.5755597479999,380,0,0.3187357042661472,-0.45893581611703127,0.45893581611703127,0.3187357042661472,1.0,1.6818181818181819,2.303030303030303,1.7328727286426846,1694.1058694106027,49.47359805789961,41.93123914676971,42.74773572769744,30.790023438577624,23.752962940156984,24.977707811548573,20.18688374359532,21.066536554850217,14.27009240798898,14.995430822465721,10.259081222462884,10.71854948312329,-2.1699999999999995,43128600666418.53,56.417786318850254,24.101463260557072,14.001330318849494,397.45946453466365,69.48730163586697,30.016916361976897,12.580053458670426,0.0,0.0,12.000419800289922,9.694446914922299,4.794537184071822,0.0,11.761884949391115,26.83757866753348,118.61756728995043,61.749345836599915,41.535873219121974,63.542889065147456,29.449691024364597,0.0,15.116608065707286,17.75371813848418,196.53558223895791,52.41196851188737,24.26546827384644,0.0,0.0,10.633577208012662,10.481923458755384,0.0,11.761884949391115,184.72667479597925,33.215714906872115,17.75371813848418,101.34148011153627,29.160951749364216,0.0,0.0,0.0,221.21,95.9579288152822,35.12171134234717,0.0,43.357292644173754,38.163298738273305,4.895483475517775,14.033534740968157,53.304308147534854,75.18761248348507,10.633577208012662,28.421177722800294,0.0,1.5758061183929855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.67419388160698,0.8333333333333334,66,7,17,0,3,3,1,0,1,16,7,18,13,0,3,3,4,4.20460000000001,252.98339999999916,6.823333333
CHEMBL558355,14.592722521230428,-1.9239389670301685,14.592722521230428,0.09926825317085841,0.1051515453496912,989.3019999999998,900.5979999999995,988.6347888759999,398,0,0.3147646340395236,-0.45893581611703127,0.45893581611703127,0.3147646340395236,0.9428571428571428,1.6142857142857143,2.2714285714285714,1.4604155310706748,1985.9896674027266,52.042512158651945,44.33239193306434,44.33239193306434,32.752018636116844,25.545291042840436,25.545291042840436,21.764328956437613,21.764328956437613,15.579954244437051,15.579954244437051,11.33644427344272,11.33644427344272,-3.039999999999999,382154644975358.9,57.85614931447477,24.32931553411365,13.566101396218135,416.3829611554302,69.48730163586697,30.016916361976897,12.580053458670426,0.0,0.0,12.000419800289922,9.694446914922299,4.794537184071822,0.0,0.0,63.23578107830314,117.42233402137137,51.166476086398575,47.57771404826993,63.542889065147456,22.772868229219515,0.0,20.433396669713616,17.75371813848418,204.60567679227873,40.839410724369635,48.02802097092827,0.0,0.0,10.633577208012662,4.794537184071822,0.0,0.0,178.47090561246785,33.215714906872115,17.75371813848418,119.87050963207184,42.46456947923127,0.0,10.772448428929591,0.0,221.21,95.9579288152822,35.12171134234717,0.0,49.39913347332171,32.475912463589744,16.335899920626588,14.033534740968157,34.61868599845312,100.97841890473975,10.633577208012662,28.421177722800294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.4166666666666,0.7735849056603774,70,7,17,0,3,3,2,0,2,15,7,17,13,0,3,3,5,4.87460000000001,266.63639999999924,6.8266666670000005
CHEMBL2041570,14.560220464298652,-1.8097296300233787,14.560220464298652,0.094307115910651,0.14651690275566948,961.2919999999996,872.5879999999996,960.639874256,388,0,0.3111884259366843,-0.45893581612486206,0.45893581612486206,0.3111884259366843,0.9411764705882353,1.6323529411764706,2.2941176470588234,1.4865472829814355,1890.0677340676027,50.46516188946232,43.832011771371626,43.832011771371626,31.824498281188273,25.01711397691447,25.01711397691447,21.637530005271746,21.637530005271746,15.276062857708306,15.276062857708306,11.050914543794406,11.050914543794406,-2.42,153768265461130.4,56.49352120442442,23.86941706411655,13.545666598650616,406.42050781663124,68.28387944851458,30.016916361976897,12.580053458670426,0.0,0.0,5.969305287951849,9.77851570501903,0.0,0.0,0.0,38.9703128044567,125.95422649502878,69.35642583698936,47.052573936738234,58.37868744003498,16.872230220032908,0.0,19.68370771349864,17.75371813848418,198.1848551693527,54.99688024832435,42.09213040561812,0.0,0.0,0.0,0.0,0.0,0.0,191.3746214810415,44.49733426658474,17.75371813848418,106.90493160323327,36.52867891392113,0.0,10.902924932081056,0.0,185.21,95.9579288152822,25.220646763434644,0.0,37.32617813183568,19.572459993351504,35.976710858529216,14.033534740968157,34.61868599845312,78.13381925464245,33.96420410224857,33.15804067660034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.41666666666663,0.8076923076923077,68,4,16,0,3,3,1,1,2,16,4,16,14,0,3,3,5,4.995300000000011,260.606199999999,6.83
